stem,route,n_classes,class_total,record_gpw,loader_reconciles,T,T_sources,ratio,working_sample,hhi,mechanism,detail
syndicate_1209_2014,det:azure,6,196.6,196.7,True,302.014,gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.651,True,0.30279544794840063,RI-ACCEPT,"t4: 'Reinsurance acceptances' 105,347"
syndicate_2007_2017,det:azure,7,644.7,644.7,True,988.6,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw,0.652,True,0.343875341165195,RI-ACCEPT,t12: 'Reinsurance acceptances' 343.9
syndicate_2468_2018,det:azure,6,264.6,264.6,True,405.073,azure:t1+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.653,True,0.2766654154733196,RI-ACCEPT,"t6: 'Reinsurance acceptances' 140,509"
syndicate_1414_2016,det:azure,6,375.8,375.9,True,573.769,azure:t2+azure:t6+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.655,True,0.3949822263023683,RI-ACCEPT,"t4: 'Reinsurance acceptances' 198,212"
syndicate_1897_2017,det:azure_text_fallback,3,91.7,91.7,True,138.037,azure:t0+azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.664,True,0.5230761729550513,TEXT-PARTIAL,3/3 adopted amounts are rows of the models' premium table
syndicate_1414_2018,det:azure,8,453.6,453.7,True,679.717,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.667,True,0.2728802540677908,RI-ACCEPT,"t1: 'Reinsurance Acceptances' 226,037"
syndicate_1414_2020,det:azure,8,549.9,549.9,True,824.295,azure:t3+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.667,True,0.2807158543365901,RI-ACCEPT,"t4: 'Reinsurance Acceptances' 274,364"
syndicate_1910_2021,llm:gpt-5-mini,5,255.9,255.9,True,380.2,azure:t1+gemini-2.5-flash:gpw,0.673,False,,LLM,the model's own mix; loader reconciles=True
syndicate_1414_2014,det:azure,5,388.6,388.6,True,574.242,azure:t2+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.677,False,0.3622410071494622,RI-ACCEPT,"t5: 'Reinsurance Acceptances' 185,626"
syndicate_3000_2020,det:azure,5,354.6,354.6,True,521.9,azure:t0+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.679,True,0.3743415441689897,SUBTOTAL-DROP,"t9: 'Third party liability' 167,251.0"
syndicate_1856_2020,det:azure_text_fallback,3,53.8,53.9,True,78.958,azure:t0+azure:t1+azure:t4+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.681,True,0.5410185268795502,TEXT-PARTIAL,3/3 adopted amounts are rows of the models' premium table
syndicate_1969_2024,det:azure,6,584.9,584.9,True,858.331,azure:t1+azure:t2+gpt-5-mini:mix,0.681,True,0.3033151916239257,RI-ACCEPT,"t18: 'Reinsurance acceptances' 273,509"
syndicate_4747_2022,det:azure_text_fallback,2,30.6,30.6,True,44.781,azure:t2+azure:t4+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.683,True,0.5451962920244351,TEXT-PARTIAL,2/2 adopted amounts are rows of the models' premium table
syndicate_1880_2016,det:azure,4,158.1,158.1,True,230.378,azure:t11+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.686,True,0.6781510932368995,RI-ACCEPT,"t3: 'Reinsurance acceptances' 72,256"
syndicate_2988_2024,det:azure,5,124.1,124.1,True,180.965,gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.686,True,0.3481368837093633,RI-ACCEPT,"t15: 'Reinsurance acceptances' 56,870"
syndicate_1209_2015,det:azure,6,218.6,218.5,True,317.7,gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.688,True,0.3129860737337913,RI-ACCEPT,"t2: 'Reinsurance acceptances' 99,158"
syndicate_2999_2022,det:azure,7,1264.3,1264.3,True,1815.5,azure:t1+azure:t2+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.696,True,0.3427259477371796,RI-ACCEPT,t7: 'Reinsurance acceptances' 551.2
syndicate_1274_2024,det:azure,7,417.0,417.0,True,597.813,azure:t0+azure:t7+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.698,True,0.2955774085767357,RI-ACCEPT,"t3: 'Reinsurance acceptances' 180,831"
syndicate_2121_2024,det:azure,10,583.5,583.5,True,835.335,azure:t2+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.699,True,0.34641293147306795,RI-ACCEPT,"t4: 'Reinsurance acceptances' 251,727"
syndicate_386_2019,det:azure,1,243.1,346.4,False,347.6,azure:t27+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.699,False,,RI-ACCEPT,t7: 'Reinsurance acceptances' 103.3
syndicate_1880_2018,det:azure,4,191.5,191.5,True,271.409,azure:t10+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.706,False,0.7408023778197412,RI-ACCEPT,"t2: 'Reinsurance acceptances' 79,898"
syndicate_2007_2016,det:azure,7,636.0,636.0,True,901.0,azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.706,True,0.3341161346465724,RI-ACCEPT,t15: 'Reinsurance acceptances' 265.0
syndicate_2999_2015,det:azure,7,702.2,702.3,True,991.391,azure:t1+azure:t2+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.708,False,0.32348019460505023,RI-ACCEPT,"t9: 'Reinsurance acceptances' 289,109"
syndicate_2786_2024,det:azure,8,234.9,234.9,True,328.952,azure:t12+azure:t2+azure:t4+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:mix,0.714,True,0.36586368373922873,RI-ACCEPT,"t8: 'Reinsurance acceptances' 93,888"
syndicate_4444_2024,det:azure,6,2258.4,2258.3,True,3159.429,azure:t0+azure:t1+azure:t17+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.715,True,0.2949323088051159,RI-ACCEPT,"t12: 'Reinsurance acceptances' 901,088"
syndicate_1200_2016,det:azure,9,369.6,369.6,True,514.8,azure:t1+azure:t3+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.718,True,0.277059498041641,RI-ACCEPT,t6: 'Reinsurance acceptances' 145-7
syndicate_1218_2020,det:azure,4,150.8,150.8,True,210.064,gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.718,True,0.7342801258012086,RI-ACCEPT,"t3: 'Reinsurance acceptances' 59,296"
syndicate_4000_2024,det:azure,7,444.9,444.8,True,618.347,azure:t0+azure:t2+azure:t20+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.719,True,0.33572247401560074,RI-ACCEPT,"t16: 'Reinsurance acceptances' 173,530"
syndicate_4242_2022,det:azure_text_fallback,5,258.9,258.9,True,359.726,azure:t3+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.72,True,0.4505403348364554,TEXT-PARTIAL,5/5 adopted amounts are rows of the models' premium table
syndicate_2358_2024,det:azure,8,160.6,160.5,True,222.214,azure:t1+azure:t3+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.723,True,0.28316834907701355,RI-ACCEPT,"t17: 'Reinsurance acceptances' 61,680"
syndicate_1218_2023,det:azure,4,185.1,185.1,True,255.5,azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.724,True,0.6727947504390648,RI-ACCEPT,"t2: 'Reinsurance acceptances' 70,398"
syndicate_5000_2024,det:azure,5,405.6,405.5,True,560.426,azure:t0+azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.724,True,0.3211149084766739,RI-ACCEPT,"t19: 'Reinsurance acceptances' 154,886"
syndicate_382_2024,det:azure,5,243.3,243.4,True,335.545,azure:t0+azure:t1+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.725,True,0.37004903134314,RI-ACCEPT,"t15: 'Reinsurance acceptances' 92,173"
syndicate_1880_2017,det:azure,4,179.3,179.3,True,246.484,azure:t10+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.727,True,0.6868484286898816,RI-ACCEPT,"t2: 'Reinsurance acceptances' 67,181"
syndicate_386_2021,det:azure,1,300.1,412.3,False,412.3,azure:t1+azure:t2+azure:t45+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.728,False,,RI-ACCEPT,t7: 'Reinsurance acceptances' 112.2
syndicate_1218_2024,det:azure,5,204.5,204.5,True,280.53,azure:t1+azure:t8+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.729,True,0.6120563602560961,RI-ACCEPT,"t4: 'Reinsurance acceptances' 76,066"
syndicate_1686_2024,det:azure,5,1434.9,1434.8,True,1966.873,azure:t1+azure:t6+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.73,True,0.2927285751551112,RI-ACCEPT,"t2: 'Reinsurance acceptances' 532,050"
syndicate_2786_2023,det:azure_text_fallback,5,184.0,183.9,True,250.9,azure:t2+azure:t4+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.733,True,0.541051155837738,TEXT-MIXED,4/5 adopted amounts are rows of the models' premium table
syndicate_1200_2014,det:azure,6,280.3,280.3,True,381.8,azure:t1+azure:t2+azure:t3+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.734,False,0.3069964298466208,RI-ACCEPT,t5: 'Reinsurance acceptances' 102.9
syndicate_1880_2015,det:azure,4,135.0,135.0,True,184.009,azure:t12+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.734,True,0.7009688608688854,RI-ACCEPT,"t3: 'Reinsurance acceptances' 48,972"
syndicate_1880_2019,det:azure,4,234.9,235.0,True,319.399,azure:t6+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.735,True,0.730977861989347,RI-ACCEPT,"t3: 'Reinsurance acceptances' 84,431"
syndicate_1206_2017,det:azure,6,156.2,156.3,True,212.192,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.736,True,0.28012856559681687,RI-ACCEPT,"t1: 'Reinsurance acceptances' 55,879"
syndicate_318_2019,det:azure,3,123.2,123.2,True,167.42,azure:t4+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.736,True,0.9182349590788796,RI-ACCEPT,"t16: 'Reinsurance acceptances' 44,254"
syndicate_3000_2024,det:azure,7,579.3,579.2,True,785.5,azure:t0+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.737,True,0.3864853242109008,RI-ACCEPT,"t16: 'Reinsurance acceptances' 206,221"
syndicate_2526_2016,det:azure,4,21.8,21.8,True,29.521,azure:t1+azure:t2+azure:t5+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.738,True,0.7769744284333276,RI-ACCEPT,"t13: 'Reinsurance acceptances' 7,684"
