series,value,exceedance_probability
Adjusted target,0.032166,0.663978
Adjusted target,0.032324,0.66129
Adjusted target,0.032462,0.658602
Adjusted target,0.0325,0.655914
Adjusted target,0.033033,0.653226
Adjusted target,0.033269,0.650538
Adjusted target,0.033374,0.647849
Adjusted target,0.033578,0.645161
Adjusted target,0.033622,0.642473
Adjusted target,0.033839,0.639785
Adjusted target,0.033871,0.637097
Adjusted target,0.034273,0.634409
Adjusted target,0.034391,0.63172
Adjusted target,0.03441,0.629032
Adjusted target,0.035435,0.626344
Adjusted target,0.035462,0.623656
Adjusted target,0.035906,0.620968
Adjusted target,0.036355,0.61828
Adjusted target,0.036545,0.615591
Adjusted target,0.037726,0.612903
Adjusted target,0.037942,0.610215
Adjusted target,0.038228,0.607527
Adjusted target,0.038746,0.604839
Adjusted target,0.038784,0.602151
Adjusted target,0.038921,0.599462
Adjusted target,0.039017,0.596774
Adjusted target,0.039186,0.594086
Adjusted target,0.03923,0.591398
Adjusted target,0.039391,0.58871
Adjusted target,0.039653,0.586022
Adjusted target,0.039713,0.583333
Adjusted target,0.039806,0.580645
Adjusted target,0.039838,0.577957
Adjusted target,0.040034,0.575269
Adjusted target,0.040426,0.572581
Adjusted target,0.040511,0.569892
Adjusted target,0.040661,0.567204
Adjusted target,0.041277,0.564516
Adjusted target,0.041278,0.561828
Adjusted target,0.041563,0.55914
Adjusted target,0.041683,0.556452
Adjusted target,0.042112,0.553763
Adjusted target,0.042278,0.551075
Adjusted target,0.043166,0.548387
Adjusted target,0.043336,0.545699
Adjusted target,0.043456,0.543011
Adjusted target,0.04379,0.540323
Adjusted target,0.045214,0.537634
Adjusted target,0.045707,0.534946
Adjusted target,0.046088,0.532258
Adjusted target,0.046113,0.52957
Adjusted target,0.046333,0.526882
Adjusted target,0.046711,0.524194
Adjusted target,0.047726,0.521505
Adjusted target,0.048001,0.518817
Adjusted target,0.04889,0.516129
Adjusted target,0.049282,0.513441
Adjusted target,0.050628,0.510753
Adjusted target,0.050703,0.508065
Adjusted target,0.050846,0.505376
Adjusted target,0.050946,0.502688
Adjusted target,0.051117,0.5
Adjusted target,0.051538,0.497312
Adjusted target,0.052018,0.494624
Adjusted target,0.052564,0.491935
Adjusted target,0.053229,0.489247
Adjusted target,0.05329,0.486559
Adjusted target,0.053407,0.483871
Adjusted target,0.053529,0.481183
Adjusted target,0.053665,0.478495
Adjusted target,0.054147,0.475806
Adjusted target,0.054165,0.473118
Adjusted target,0.054577,0.47043
Adjusted target,0.055014,0.467742
Adjusted target,0.055491,0.465054
Adjusted target,0.0559,0.462366
Adjusted target,0.056646,0.459677
Adjusted target,0.056855,0.456989
Adjusted target,0.057529,0.454301
Adjusted target,0.058143,0.451613
Adjusted target,0.058284,0.448925
Adjusted target,0.061075,0.446237
Adjusted target,0.062133,0.443548
Adjusted target,0.062734,0.44086
Adjusted target,0.063479,0.438172
Adjusted target,0.06355,0.435484
Adjusted target,0.063672,0.432796
Adjusted target,0.063774,0.430108
Adjusted target,0.063921,0.427419
Adjusted target,0.064072,0.424731
Adjusted target,0.064227,0.422043
Adjusted target,0.065222,0.419355
Adjusted target,0.065476,0.416667
Adjusted target,0.065587,0.413978
Adjusted target,0.067699,0.41129
Adjusted target,0.068151,0.408602
Adjusted target,0.068244,0.405914
Adjusted target,0.068412,0.403226
Adjusted target,0.06931,0.400538
Adjusted target,0.069476,0.397849
Adjusted target,0.069582,0.395161
Adjusted target,0.069697,0.392473
Adjusted target,0.069782,0.389785
Adjusted target,0.070008,0.387097
Adjusted target,0.070483,0.384409
Adjusted target,0.070582,0.38172
Adjusted target,0.070634,0.379032
Adjusted target,0.070712,0.376344
Adjusted target,0.071609,0.373656
Adjusted target,0.072012,0.370968
Adjusted target,0.072146,0.36828
Adjusted target,0.072444,0.365591
Adjusted target,0.072625,0.362903
Adjusted target,0.072738,0.360215
Adjusted target,0.073739,0.357527
Adjusted target,0.073985,0.354839
Adjusted target,0.074637,0.352151
Adjusted target,0.075277,0.349462
Adjusted target,0.075353,0.346774
Adjusted target,0.075672,0.344086
Adjusted target,0.075724,0.341398
Adjusted target,0.07589,0.33871
Adjusted target,0.076736,0.336022
Adjusted target,0.077051,0.333333
Adjusted target,0.078325,0.330645
Adjusted target,0.07935,0.327957
Adjusted target,0.07962,0.325269
Adjusted target,0.080682,0.322581
Adjusted target,0.081625,0.319892
Adjusted target,0.081983,0.317204
Adjusted target,0.084212,0.314516
Adjusted target,0.084313,0.311828
Adjusted target,0.084507,0.30914
Adjusted target,0.085103,0.306452
Adjusted target,0.085295,0.303763
Adjusted target,0.085727,0.301075
Adjusted target,0.085993,0.298387
Adjusted target,0.086234,0.295699
Adjusted target,0.08643,0.293011
Adjusted target,0.08701,0.290323
Adjusted target,0.087683,0.287634
Adjusted target,0.087899,0.284946
Adjusted target,0.088608,0.282258
Adjusted target,0.089052,0.27957
Adjusted target,0.089457,0.276882
Adjusted target,0.089564,0.274194
Adjusted target,0.089565,0.271505
Adjusted target,0.089714,0.268817
Adjusted target,0.091044,0.266129
Adjusted target,0.091164,0.263441
Adjusted target,0.091839,0.260753
Adjusted target,0.092771,0.258065
Adjusted target,0.09286,0.255376
Adjusted target,0.094002,0.252688
Adjusted target,0.094907,0.25
Adjusted target,0.09661,0.247312
Adjusted target,0.097039,0.244624
Adjusted target,0.097856,0.241935
Adjusted target,0.09825,0.239247
Adjusted target,0.099144,0.236559
Adjusted target,0.099574,0.233871
Adjusted target,0.100559,0.231183
Adjusted target,0.101179,0.228495
Adjusted target,0.101564,0.225806
Adjusted target,0.101911,0.223118
Adjusted target,0.101967,0.22043
Adjusted target,0.103645,0.217742
Adjusted target,0.104232,0.215054
Adjusted target,0.105014,0.212366
Adjusted target,0.105229,0.209677
Adjusted target,0.105369,0.206989
Adjusted target,0.106591,0.204301
Adjusted target,0.110929,0.201613
Adjusted target,0.113882,0.198925
Adjusted target,0.114167,0.196237
Adjusted target,0.115454,0.193548
Adjusted target,0.116249,0.19086
Adjusted target,0.1177,0.188172
Adjusted target,0.117744,0.185484
Adjusted target,0.12079,0.182796
Adjusted target,0.120819,0.180108
Adjusted target,0.121756,0.177419
Adjusted target,0.122035,0.174731
Adjusted target,0.1229,0.172043
Adjusted target,0.123834,0.169355
Adjusted target,0.126745,0.166667
Adjusted target,0.126914,0.163978
Adjusted target,0.128783,0.16129
Adjusted target,0.128901,0.158602
Adjusted target,0.129603,0.155914
Adjusted target,0.130131,0.153226
Adjusted target,0.132068,0.150538
Adjusted target,0.132159,0.147849
Adjusted target,0.133451,0.145161
Adjusted target,0.133596,0.142473
Adjusted target,0.133836,0.139785
Adjusted target,0.134258,0.137097
Adjusted target,0.134443,0.134409
Adjusted target,0.134772,0.13172
Adjusted target,0.134931,0.129032
Adjusted target,0.13504,0.126344
Adjusted target,0.136667,0.123656
Adjusted target,0.138716,0.120968
Adjusted target,0.139686,0.11828
Adjusted target,0.139823,0.115591
Adjusted target,0.152344,0.112903
Adjusted target,0.158002,0.110215
Adjusted target,0.158281,0.107527
Adjusted target,0.159143,0.104839
Adjusted target,0.159726,0.102151
Adjusted target,0.159861,0.099462
Adjusted target,0.16141,0.096774
Adjusted target,0.169525,0.094086
Adjusted target,0.170376,0.091398
Adjusted target,0.171855,0.08871
Adjusted target,0.173539,0.086022
Adjusted target,0.174208,0.083333
Adjusted target,0.178201,0.080645
Adjusted target,0.180948,0.077957
Adjusted target,0.185535,0.075269
Adjusted target,0.18592,0.072581
Adjusted target,0.186413,0.069892
Adjusted target,0.189976,0.067204
Adjusted target,0.190804,0.064516
Adjusted target,0.194014,0.061828
Adjusted target,0.21152,0.05914
Adjusted target,0.214346,0.056452
Adjusted target,0.217108,0.053763
Adjusted target,0.219344,0.051075
Adjusted target,0.221036,0.048387
Adjusted target,0.227698,0.045699
Adjusted target,0.228679,0.043011
Adjusted target,0.231609,0.040323
Adjusted target,0.239083,0.037634
Adjusted target,0.249958,0.034946
Adjusted target,0.255318,0.032258
Adjusted target,0.286169,0.02957
Adjusted target,0.29321,0.026882
Adjusted target,0.29501,0.024194
Adjusted target,0.33484,0.021505
Adjusted target,0.339735,0.018817
Adjusted target,0.340999,0.016129
Adjusted target,0.376465,0.013441
Adjusted target,0.391022,0.010753
Adjusted target,0.435504,0.008065
Adjusted target,0.632473,0.005376
Adjusted target,0.665603,0.002688
