series,index,value
Adjusted target,11,-0.216443
Adjusted target,12,-0.212892
Adjusted target,13,-0.210632
Adjusted target,14,-0.20571
Adjusted target,15,-0.189111
Adjusted target,16,-0.181806
Adjusted target,17,-0.166276
Adjusted target,18,-0.165117
Adjusted target,19,-0.159656
Adjusted target,20,-0.145238
Adjusted target,21,-0.139331
Adjusted target,22,-0.135048
Adjusted target,23,-0.130242
Adjusted target,24,-0.129118
Adjusted target,25,-0.126091
Adjusted target,26,-0.122024
Adjusted target,27,-0.121764
Adjusted target,28,-0.121764
Adjusted target,29,-0.121586
Adjusted target,30,-0.120638
Adjusted target,31,-0.117922
Adjusted target,32,-0.114979
Adjusted target,33,-0.110608
Adjusted target,34,-0.109159
Adjusted target,35,-0.108471
Adjusted target,36,-0.103789
Adjusted target,37,-0.102844
Adjusted target,38,-0.102079
Adjusted target,39,-0.100561
Adjusted target,40,-0.097252
Adjusted target,41,-0.096967
Adjusted target,42,-0.095905
Adjusted target,43,-0.094627
Adjusted target,44,-0.094537
Adjusted target,45,-0.09431
Adjusted target,46,-0.094225
Adjusted target,47,-0.092346
Adjusted target,48,-0.090043
Adjusted target,49,-0.089392
Adjusted target,50,-0.08932
Adjusted target,51,-0.087164
Adjusted target,52,-0.086995
Adjusted target,53,-0.086978
Adjusted target,54,-0.086448
Adjusted target,55,-0.082092
Adjusted target,56,-0.080191
Adjusted target,57,-0.079747
Adjusted target,58,-0.077727
Adjusted target,59,-0.077574
Adjusted target,60,-0.076065
Adjusted target,61,-0.075177
Adjusted target,62,-0.07409
Adjusted target,63,-0.073657
Adjusted target,64,-0.073279
Adjusted target,65,-0.072221
Adjusted target,66,-0.071589
Adjusted target,67,-0.07088
Adjusted target,68,-0.069951
Adjusted target,69,-0.067536
Adjusted target,70,-0.067051
Adjusted target,71,-0.066834
Adjusted target,72,-0.066451
Adjusted target,73,-0.066281
Adjusted target,74,-0.066277
Adjusted target,75,-0.066185
Adjusted target,76,-0.065635
Adjusted target,77,-0.064954
Adjusted target,78,-0.063234
Adjusted target,79,-0.062261
Adjusted target,80,-0.061432
Adjusted target,81,-0.060791
Adjusted target,82,-0.06074
Adjusted target,83,-0.060336
Adjusted target,84,-0.059485
Adjusted target,85,-0.059219
Adjusted target,86,-0.058312
Adjusted target,87,-0.057619
Adjusted target,88,-0.057256
Adjusted target,89,-0.056835
Adjusted target,90,-0.056812
Adjusted target,91,-0.056736
Adjusted target,92,-0.056179
Adjusted target,93,-0.055878
Adjusted target,94,-0.055601
Adjusted target,95,-0.055359
Adjusted target,96,-0.055202
Adjusted target,97,-0.054272
Adjusted target,98,-0.054176
Adjusted target,99,-0.053534
Adjusted target,100,-0.053429
Adjusted target,101,-0.053167
Adjusted target,102,-0.05271
Adjusted target,103,-0.052684
Adjusted target,104,-0.05222
Adjusted target,105,-0.05203
Adjusted target,106,-0.051944
Adjusted target,107,-0.051695
Adjusted target,108,-0.051511
Adjusted target,109,-0.051404
Adjusted target,110,-0.051103
Adjusted target,111,-0.050318
Adjusted target,112,-0.0503
Adjusted target,113,-0.049863
Adjusted target,114,-0.049583
Adjusted target,115,-0.048738
Adjusted target,116,-0.048702
Adjusted target,117,-0.048435
Adjusted target,118,-0.047765
Adjusted target,119,-0.047725
Adjusted target,120,-0.047268
Adjusted target,121,-0.046919
Adjusted target,122,-0.04662
Adjusted target,123,-0.045254
Adjusted target,124,-0.044699
Adjusted target,125,-0.044654
Adjusted target,126,-0.044328
Adjusted target,127,-0.044089
Adjusted target,128,-0.044086
Adjusted target,129,-0.043445
Adjusted target,130,-0.0434
Adjusted target,131,-0.04336
Adjusted target,132,-0.043322
Adjusted target,133,-0.043243
Adjusted target,134,-0.043068
Adjusted target,135,-0.043025
Adjusted target,136,-0.042695
Adjusted target,137,-0.042619
Adjusted target,138,-0.041854
Adjusted target,139,-0.04131
Adjusted target,140,-0.04109
Adjusted target,141,-0.04091
Adjusted target,142,-0.039859
Adjusted target,143,-0.038871
Adjusted target,144,-0.038413
Adjusted target,145,-0.037888
Adjusted target,146,-0.037882
Adjusted target,147,-0.037665
Adjusted target,148,-0.037513
Adjusted target,149,-0.037483
Adjusted target,150,-0.036185
Adjusted target,151,-0.035542
Adjusted target,152,-0.03442
Adjusted target,153,-0.033825
Adjusted target,154,-0.033791
Adjusted target,155,-0.033408
Adjusted target,156,-0.033298
Adjusted target,157,-0.032839
Adjusted target,158,-0.032703
Adjusted target,159,-0.032524
Adjusted target,160,-0.032254
Adjusted target,161,-0.031533
Adjusted target,162,-0.031346
Adjusted target,163,-0.031085
Adjusted target,164,-0.030389
Adjusted target,165,-0.030387
Adjusted target,166,-0.030381
Adjusted target,167,-0.029927
Adjusted target,168,-0.029685
Adjusted target,169,-0.029644
Adjusted target,170,-0.029523
Adjusted target,171,-0.028647
Adjusted target,172,-0.028376
Adjusted target,173,-0.028209
Adjusted target,174,-0.028069
Adjusted target,175,-0.028043
Adjusted target,176,-0.027887
Adjusted target,177,-0.027847
Adjusted target,178,-0.027547
Adjusted target,179,-0.027275
Adjusted target,180,-0.026835
Adjusted target,181,-0.026096
Adjusted target,182,-0.025832
Adjusted target,183,-0.025396
Adjusted target,184,-0.025307
Adjusted target,185,-0.025062
Adjusted target,186,-0.024888
Adjusted target,187,-0.024719
Adjusted target,188,-0.024527
Adjusted target,189,-0.024303
Adjusted target,190,-0.024276
Adjusted target,191,-0.02424
Adjusted target,192,-0.02414
Adjusted target,193,-0.023908
Adjusted target,194,-0.023703
Adjusted target,195,-0.023669
Adjusted target,196,-0.02294
Adjusted target,197,-0.022742
Adjusted target,198,-0.022206
Adjusted target,199,-0.021934
Adjusted target,200,-0.021507
Adjusted target,201,-0.021093
Adjusted target,202,-0.020565
Adjusted target,203,-0.020372
Adjusted target,204,-0.019713
Adjusted target,205,-0.019569
Adjusted target,206,-0.019449
Adjusted target,207,-0.019237
Adjusted target,208,-0.019051
Adjusted target,209,-0.018984
Adjusted target,210,-0.018973
Adjusted target,211,-0.018324
Adjusted target,212,-0.018179
Adjusted target,213,-0.018175
Adjusted target,214,-0.018108
Adjusted target,215,-0.018053
Adjusted target,216,-0.017986
Adjusted target,217,-0.01769
Adjusted target,218,-0.017599
Adjusted target,219,-0.017549
Adjusted target,220,-0.017519
Adjusted target,221,-0.017065
Adjusted target,222,-0.017011
Adjusted target,223,-0.016906
Adjusted target,224,-0.016458
Adjusted target,225,-0.015755
Adjusted target,226,-0.015403
Adjusted target,227,-0.015099
Adjusted target,228,-0.014955
Adjusted target,229,-0.014311
Adjusted target,230,-0.014053
Adjusted target,231,-0.013581
Adjusted target,232,-0.013548
Adjusted target,233,-0.012653
Adjusted target,234,-0.012609
Adjusted target,235,-0.012369
Adjusted target,236,-0.011912
Adjusted target,237,-0.011827
